img1,img2,img1_folder,img1_feature_path,img2_folder,img2_feature_path,cosine_similarity
data\5\12.png,data\9\52.png,1,demo/pair/5_9\data_5_12.npy,2,demo/pair/5_9\data_9_52.npy,0.2233019471168518
data\5\12.png,data\9\29.png,1,demo/pair/5_9\data_5_12.npy,2,demo/pair/5_9\data_9_29.npy,0.2717520296573639
data\5\12.png,data\9\151.png,1,demo/pair/5_9\data_5_12.npy,2,demo/pair/5_9\data_9_151.npy,0.27806979417800903
data\5\12.png,data\9\49.png,1,demo/pair/5_9\data_5_12.npy,2,demo/pair/5_9\data_9_49.npy,0.2247275412082672
data\5\12.png,data\9\254.png,1,demo/pair/5_9\data_5_12.npy,2,demo/pair/5_9\data_9_254.npy,0.19680145382881165
data\5\146.png,data\9\52.png,1,demo/pair/5_9\data_5_146.npy,2,demo/pair/5_9\data_9_52.npy,0.15146271884441376
data\5\146.png,data\9\29.png,1,demo/pair/5_9\data_5_146.npy,2,demo/pair/5_9\data_9_29.npy,0.19860884547233582
data\5\146.png,data\9\151.png,1,demo/pair/5_9\data_5_146.npy,2,demo/pair/5_9\data_9_151.npy,0.21729755401611328
data\5\146.png,data\9\49.png,1,demo/pair/5_9\data_5_146.npy,2,demo/pair/5_9\data_9_49.npy,0.16785047948360443
data\5\146.png,data\9\254.png,1,demo/pair/5_9\data_5_146.npy,2,demo/pair/5_9\data_9_254.npy,0.14948368072509766
data\5\35.png,data\9\52.png,1,demo/pair/5_9\data_5_35.npy,2,demo/pair/5_9\data_9_52.npy,0.20659828186035156
data\5\35.png,data\9\29.png,1,demo/pair/5_9\data_5_35.npy,2,demo/pair/5_9\data_9_29.npy,0.2477501481771469
data\5\35.png,data\9\151.png,1,demo/pair/5_9\data_5_35.npy,2,demo/pair/5_9\data_9_151.npy,0.2484639286994934
data\5\35.png,data\9\49.png,1,demo/pair/5_9\data_5_35.npy,2,demo/pair/5_9\data_9_49.npy,0.20143550634384155
data\5\35.png,data\9\254.png,1,demo/pair/5_9\data_5_35.npy,2,demo/pair/5_9\data_9_254.npy,0.17230771481990814
data\5\63.png,data\9\52.png,1,demo/pair/5_9\data_5_63.npy,2,demo/pair/5_9\data_9_52.npy,0.2534387707710266
data\5\63.png,data\9\29.png,1,demo/pair/5_9\data_5_63.npy,2,demo/pair/5_9\data_9_29.npy,0.3226586878299713
data\5\63.png,data\9\151.png,1,demo/pair/5_9\data_5_63.npy,2,demo/pair/5_9\data_9_151.npy,0.3194045424461365
data\5\63.png,data\9\49.png,1,demo/pair/5_9\data_5_63.npy,2,demo/pair/5_9\data_9_49.npy,0.251431941986084
data\5\63.png,data\9\254.png,1,demo/pair/5_9\data_5_63.npy,2,demo/pair/5_9\data_9_254.npy,0.23092083632946014
data\5\309.png,data\9\52.png,1,demo/pair/5_9\data_5_309.npy,2,demo/pair/5_9\data_9_52.npy,0.17196659743785858
data\5\309.png,data\9\29.png,1,demo/pair/5_9\data_5_309.npy,2,demo/pair/5_9\data_9_29.npy,0.18622733652591705
data\5\309.png,data\9\151.png,1,demo/pair/5_9\data_5_309.npy,2,demo/pair/5_9\data_9_151.npy,0.21533280611038208
data\5\309.png,data\9\49.png,1,demo/pair/5_9\data_5_309.npy,2,demo/pair/5_9\data_9_49.npy,0.17757724225521088
data\5\309.png,data\9\254.png,1,demo/pair/5_9\data_5_309.npy,2,demo/pair/5_9\data_9_254.npy,0.19580720365047455
